id_channel;id_video;ymd_hms_video;tweet
UCwLy_PYrnCEhCU-Ay2F5Drw;C26apzaSUiM;2021-06-03T14:04:16Z;"New #rstats video: R-Ladies Remote Takeover 2 - ""Natural Language Processing for Survey Text Data"" with Tuli Amutenya https://www.youtube.com/watch?v=C26apzaSUiM"
UCCaChdLMTYMxyawR_Qf-kYA;XOurCfeJLGc;2021-06-05T20:22:02Z;New #rstats video: Advanced R Book Club: Ch 11: Function operators (2021-06-01) (advr05) https://www.youtube.com/watch?v=XOurCfeJLGc
UCCaChdLMTYMxyawR_Qf-kYA;4KpLyFlKAok;2021-06-05T20:13:34Z;New #rstats video: R for Data Science Book Club: Chapter 23: Model basics (2021-06-02) (r4ds04) https://www.youtube.com/watch?v=4KpLyFlKAok
UCCaChdLMTYMxyawR_Qf-kYA;rn_mMzEnfwo;2021-06-05T19:45:13Z;New #rstats video: R for Data Science Book Club: Chapter 15 continued: Factors (2021-06-01) (r4ds03) https://www.youtube.com/watch?v=rn_mMzEnfwo
UCCaChdLMTYMxyawR_Qf-kYA;AVtFxxD3eyU;2021-06-05T19:43:29Z;New #rstats video: R for Data Science Book Club: Chapter 18: Pipes (2021-05-25) (r4ds03) https://www.youtube.com/watch?v=AVtFxxD3eyU
UCCaChdLMTYMxyawR_Qf-kYA;a3G-2B5tohA;2021-06-05T19:40:48Z;New #rstats video: R for Data Science Book Club: Chapter 16 continued: Dates and times (2021-05-18) (r4ds03) https://www.youtube.com/watch?v=a3G-2B5tohA
UCwLy_PYrnCEhCU-Ay2F5Drw;m4k3g0XKs_E;2021-06-06T01:00:08Z;New #rstats video: Why R? World 10: Kevin O'Brien (Ireland) https://www.youtube.com/watch?v=m4k3g0XKs_E
UCCaChdLMTYMxyawR_Qf-kYA;B2RRopTnwds;2021-06-06T21:00:02Z;New #rstats video: Tidy Modeling with R Book Club: Chapter 14: Iterative Search (2021-05-30) (tmwr02) https://www.youtube.com/watch?v=B2RRopTnwds
UCGuktEl5InrcxPfCjmPWxsA;-DfCitMqdUc;2021-06-08T16:00:00Z;New #rstats video: How to dynamically add significance bars and stars to a figure in ggplot2 (CC113) https://www.youtube.com/watch?v=-DfCitMqdUc
UCfJyQ3P2k_SuqfxVdqIEQNw;Er-tXfGkL08;2021-06-08T15:30:01Z;New #rstats video: Using ggplot to create bar charts for 2 categorical variables.         R programming for beginners. https://www.youtube.com/watch?v=Er-tXfGkL08
UCeiiqmVK07qhY-wvg3IZiZQ;HBZyqkVjUgY;2021-06-08T00:19:20Z;New #rstats video: ML Monday live screencast: Predicting board game ratings in R https://www.youtube.com/watch?v=HBZyqkVjUgY
UCwQ7lkY6YWzZjT807Itbvtw;9TCOkDHj2gE;2021-06-09T12:52:55Z;"New #rstats video: First steps with a Shiny calendar system!
By Shiny DeveloperSeries
https://www.youtube.com/watch?v=9TCOkDHj2gE"
UCFXPzW7RxP6RfQGpRn7WXNw;ezPNfJqKT04;2021-06-09T03:54:44Z;"New #rstats video: w10: Wrapping up
By Daniel Anderson
https://www.youtube.com/watch?v=ezPNfJqKT04"
