id_channel;name_channel;id_twitter
UCHIlDVeRUk3BAh4XEphxVFA;gisela soledispa lucas;
UCxOhDvtaoXDAB336AolWs3A;Hadley Wickham;hadleywickham
UCPVGs5EBtrhK5gENc1GACOA;Hansel Ochoa Montero;
UCctc3RvC6n5dJXP_NR7wfjQ;Hefin Rhys;HRJ21
UCN5UEJ-D9X5neLYOGtRfJug;Herb Wilson;
UCfqX9h4wkDzXQIdfcrpLBMQ;Hertie School Data Science Lab;Hertie_DSLab
UClGaKSIiaYp8o2SB3D3aS_A;InsiderMiner;forcesofhabit
UCWFju94W4ecD4qNRWW4ztLQ;INWT Statistics;INWT_Statistics
UC3wk--LSO6RkhoMXC6LM_9g;Kasper Welbers;KasperWelbers
UC0cF_3ZXpYErsASTc29ftPg;Kelsey Gonzalez;KelseyEGonzalez
UCchB_GC3WYW8kuGPyllLE7Q;Kelly Bodwin;KellyBodwin
UCrxjf_pqTZKMdAuU-WbkENA;Kianté Fernandez;
UCXKQBlJczU7YTyVu_wW7yHA;Japan.R;Japan_R_net
UCYTxHFYjftv-kxhogQuwXhA;Jasper Tjaden;JasperTjaden
UC9Sm1qcdzyGVjQMgWsW4pcw;Jennifer Sloane;jfsloane
UCHe1BSq0GyFONcrc-iEnAOQ;Jenny Bryan;JennyBryan
UCE2WK5bvNtDblu4NO9PGtJA;Jesse Mostipak;kierisi
UC3mcThQVORlwCY4k1vB0FmQ;Jim Hester;jimhester_
UCaonzTNPMjkxcBRqhe3qHyQ;Joe Guinness;JoeGuinnesss
UCglOScwuzibyL19xqvWc4Ew;Joel Alcedo;joelalcedo1
UCK3XKF6JfYPL_LnzddiQ30g;Jonathan K. Christopher;
UCsqrrplF84DQckpGQuTKTMg;Jonathan Marshall;jmarshallnz
UCLgFrIEoBbAg9WfqTmbxweQ;John Coene;jdatap
UCB_noR4lYmbKJozwJuPStbg;John Little;john_little
UCWI1xyk6Jb4t2OOyP2LS4DQ;John Muschelli;StrictlyStat
UCPfMGYxAOm39sO8nuEMB96Q;José Antonio: Estadística Aplicada;
UCCigEL4N49pgIGszAz_v7Uw;Julian Righ Sampedro;JRigh
UCTTBgWyJl2HrrhQOOc710kA;Julia Silge;juliasilge
UCPUL4sOelS0f3Q-u7Ld29Ew;Kyle Analytics;
UCmBDds7HAhpG6ZUj9FC2s9Q;Lacey Maths & Stats Consultancy;seanwithafada
UCvoAaXbImj95zwgdguxbrPA;LajeunesseLab;LajeunesseLab
UC2-hKemnrmVCH_29duyJ26A;Lander Analytics;LanderAnalytics
UCt950nC6jlh2ELDRPigWOkg;LatinR;LatinR_Conf
UCU5ZiUm-OLbVGW7NP0e-eFQ;Learn RStats;
UCT4HNZZfFzsvcs-kBNTLkzQ;Learn R with Pallvi;
UCxB1IGhLzlEOikTL-aDwqFg;Leonardo Collado Torres;lcolladotor
UCHN3yqJ_OTvz9TXwSyjJTjw;librarianwomack;
UCrpq9hzMQSq0ldVcXlLgpvQ;Liquid Brain;Brandon_yeoph
UCDhKY1sp29xXSOInddeF4-g;Liquid Brain R;Brandon_yeoph
UCC3CCtUrSSQoJkxodRKr89g;Lisa Lendway - Statistics & Data Science;lisalendway
UCKJFCIbcGs2a5RGt8RjdbFA;Liza Wood;wood__liza
UCcCMO7sHb8O_TJUd34sQ_Ng;Lulus CommentdansR;
UCOfk4nX5sx1UpnuXPVzXokw;Makerere Epidemiology and Statistical center;
UCGicmkdbKCzYjBtijfPxHhQ;Malaysia R User Group;
UCkNvd1JigrH2A_YLKSgFnQQ;Mango Solutions;MangoTheCat
UCTXUFl30vDC32UrohjWB8kQ;Matthew Peterson;ecomattp
UCgdZkOZfmrAFHkDHYI5taVw;Matthew Ross;
UCYNVcihAKkRW-bhzIrguvVw;math et al;
UCGTWSt8p54ANBnXvWOmF5FA;MAURICIO VARGAS;
UC1ZIcF31fEzBO6akL_HHkBg;Mauro Lepore;mauro_lepore
UCU2_ZKzs__wKRtsvc-MS3GQ;Max Kuhn;topepos
UCulCmsf4ClxMibkBpD-JYmg;Michael Hahsler;
UCWOMdzXlQgRu6f-plf9DTcg;Miguel Bustos;
UClHxi-ei0TXjC-0A0QXwMpg;Miles Chen;
UCeTqWLMlko7MjRny-b_dNeA;Mine Çetinkaya-Rundel;minebocek
UCf1ZNSUNLDFy5y3X6qoZGCg;Mirai Solutions;MiraiSolutions
UClspbw7f-6Wk0BUiI6H05OQ;MMID Coding Workshop;
UCID33pDULsQg2y4FVlv4CnQ;Mouna Belaid;mounaa_belaid
UCei62Pt5vczohDZm45tiuvg;#NairobiR;
UCU6vtQ59YrGqIrytnJ2CRug;Nasrin Fathollahzadeh Attar;NasrinAttar
UCMwM-3tg_-Pbx8hKO78q5EA;NHSR Community;NHSrCommunity
UCEbPGn_boFJj7_sPh37mBfA;Nnenna Asidianya;asidianya
UCbh2y2fylQmgbsfQfYyYI4A;Noam Ross;noamross
UCax5WxTJvQjtS9elybDivbA;Olakunle4impact;olakunle4impact
UCoCfOfaj2c4sMxFv_nglycw;Open Data Science Deutschland;
UCwVZbwV_5GQpdUVB0BDmeXg;Parsimony;
UCxrh1zXhO2rL0t3Y5rSzWSw;Pascal Schmidt;pascy28
UCu3UVZ1mLOYdsrrrnjjs8Pg;Patrick Mensah;patmensa39
UC3YGwtENLTykphX-S00P4Jw;paulfharrison;paulfharrison
UCxQFEv8HNqM01DXzdQLCy6Q;pharmaverse;
UCCtRoQ5QVXsf4OwRir3EI9Q;Ph.D DuriDuri;
UC3quDkWY1BBFasaIzaJUBXA;Practical Propensity Score Analysis;WalterLLeite1
UCBsXfUO__nzMnlaLLUx7DFQ;Probability!;
UC1NEZyGbSpcgBxcosNAjojA;Quick R Tutorials;
UCljumcPvitx5W0OEC_Thk2Q;Rania Ismail;
UCg6kociUghEgKz_hLRKQrMQ;R Data Science School;
UCKHWHHzf3H79h2T0QWdR1Tw;R en Baires;renbaires
UC7C-2wTDdq_AmNfWixCAY3Q;Red Mexicana Bioinformatica;
UCZcd0Fp8o_FQVqf6AAoZzqA;R for students | Dr. Fahad;
UCjXQyxs1iyEg5v98fezgT0w;Regorz Statistik;
UC1A-TUhyfNOpHcNM8da6tJQ;Renzo Caceres Rossi;ARenzoCaceresR
UCY98oWVfQEZ_i7R_0JqIRZA;R- Ladies Amsterdam;RLadiesAMS
UCktFo5XoX5QZMWb2Gb3KY2A;R-Ladies Abuja;RLadiesAbuja
UC9UK90FN2Q1cl0J5Kl4-7Mg;R-Ladies Baltimore;RLadiesBmore
UCEw9Q55DDo1OIHrb_V5r-KA;R-Ladies Barcelona;RLadiesBCN
